MaCK,SanCK,GiaHienTai,GiaSoSach,P/B,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,,
BAL,HASTC,9.1000,0,67308%,15.90,5.40,-0.24,-37.9,-160%,-180%,1.03,2000000,2000000,0,0,18200001,99345,5017,27037,3481,30518,CTCP Bao bì Bia - Rượu - Nước giải khát,Beer - Alcohol - Beverage Packaging Joint Stock Company,38 Ngô Quyền - P.Máy Chai - Q.Ngô Quyền - TP.Hải Phòng,(84.225) 383 7257,0225 3 837 137,http://www.balpac.com.vn/,,,,,
BAX,HASTC,65.5000,0,192251%,96.89,32.17,17.88,3.7,1611%,5248%,1.15,8200000,8200000,0,0,537100000,318184,0,279372,630460,909833,CTCP Thống Nhất,Thong Nhat Joint Stock Company,Đường số 2A - KCN Bàu Xéo - H. Trảng Bom - T. Đồng Nai,(84.251) 392 4377,061 392 4692,http://www.bauxeo.com.vn/vn/,,,,,
BBC,HASTC,61.2000,0.1,85000%,74.50,42.60,6.57,9.3,687%,913%,1.14,15321602,15371192,49590,7556183,940716962,1385461,0,1103191,361773,1464965,CTCP Bibica,Bibica Corporation,Số 443 - 445 Lý Thường Kiệt - P.8 - Q.Tân Bình - Tp.HCM,(84.28) 3971 7920,,http://www.bibica.com.vn,,,,,
BBH,HASTC,7.9000,0,20194%,24.00,7.90,0.00,0.0,6%,7%,0.59,2047932,2047932,0,0,16178663,0,0,80109,15728,95837,CTCP Bao bì Hoàng Thạch,Hoang Thach Bagging Joint Stock Company,P. Minh Tân - Thị xã Kinh Môn - T. Hải Dương,(84.220) 3820 020,,https://www.baobihoangthach.vn/,,,,,
BBM,HASTC,11.0000,0,83460%,14.12,8.29,1.40,7.9,724%,1066%,0.62,2000000,2000000,0,0,22000000,48980,-2331,26359,12459,38818,CTCP Bia Hà Nội - Nam Định,Ha Noi - Nam Dinh Beer JSC,Số 5 Đường Thái Bình - P.Hạ Long - Tp.Nam Định,(84.228) 364 2199,,http://www.biahanoinamdinh.com/,,,,,
BBS,HASTC,10.6000,0,58531%,13.00,8.99,1.18,9.0,182%,651%,0.71,6000000,6000000,0,2058000,63600002,505021,0,108636,280557,389193,CTCP VICEM Bao bì Bút Sơn,VICEM Packaging But Son JSC,Km2 Đường Văn Cao - X. Lộc An - Tp. Nam Định - T. Nam Định,(84.228) 384 5183 - 386 0433,02283 840 395,https://butsonpackaging.vn/,,,,,
BBT,HASTC,21.1000,0,116510%,27.40,13.10,3.74,5.6,1532%,2066%,1.59,6840000,6840000,0,184460,144324003,64608,-13500,123867,43170,167037,CTCP Bông Bạch Tuyết,Bach Tuyet Cotton Corporation,481 Âu Cơ - P.10 - Q.Tân Bình - Tp.HCM,(84.28) 39744012,028 3765 2516,http://bongbachtuyet.com.vn,,,,,
BCB,HASTC,3.6000,0,24440%,6.60,3.60,4.23,0.9,627%,2869%,0.40,5000000,5000000,0,0,18000000,82534,0,73666,263387,337053,CTCP 397,397 Joint Stock Company,Số 251 Khu Vĩnh Tuy II - P. Mạo Khê - Tx. Đông Triều - T. Quảng Ninh,(84.203) 221 1329,,http://congtycophan397.com.vn/,,,,,
BCC,HASTC,9.7000,0,56461%,13.00,5.80,1.14,8.5,332%,665%,1.57,123209812,123209812,0,46874084,1195135153,4308896,140742,2117019,2122363,4239382,CTCP Xi măng Bỉm Sơn,Bim Son Cement JSC,Khu phố 7 - P. Ba Đình - Tx. Bỉm Sơn - T. Thanh Hóa,(84.237) 382 4242,+84-(0)37-382.40.46,http://ximangbimson.com.vn,,,,,
BCF,HASTC,42.8000,0,365500%,43.50,28.27,3693.00,0.0,25%,33%,0.72,25300470,21083725,0,0,902383414,590071,20977,296207,92241,388448,CTCP Thực phẩm Bích Chi,Bich Chi Food Joint Stock Company,Số 45X1 Nguyễn Sinh Sắc - TX.Sa Đéc - Đồng Tháp,(84.277) 3861910,,http://www.bichchi.com.vn,,,,,
BCP,HASTC,11.2000,0,933333%,13.00,9.00,-0.30,-37.3,-1663%,-2502%,0.54,38320000,38320000,0,1962100,429183993,48820,1375,53622,14968,68590,CTCP Dược ENLIE,Enlie Pharmaceutical Joint Stock Company,NA6 - KCN Mỹ Phước 2 - H.Bến Cát - T.Bình Dương,(84.274) 355 3226,6503553327,http://enlie.vn/,,,,,
BCV,HASTC,21.5000,0,271122%,21.50,21.50,-1.04,-20.7,-863%,-1314%,0.00,1800000,1800000,0,0,38700000,3755433,21559,2353028,5781510,8134539,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,,,,,,,,,
BDB,HASTC,10.6000,0,95238%,13.50,8.90,1.22,8.7,742%,1092%,-0.01,1126474,1126474,0,551972,11940625,62608,0,12537,5904,18441,CTCP Sách và Thiết bị Bình Định,Binh Dinh Book & Equipment Joint Stock Company,Số 219 Nguyễn Lữ - Tp.Quy Nhơn - T.Bình Định,(84.256) 352 2645,(056) 3522853,http://www.sachthietbibinhdinh.com.vn,,,,,
BDG,HASTC,43.1000,0,174848%,48.30,23.38,7.18,6.0,1438%,2912%,1.13,12000000,12000000,0,5880000,517199982,1184954,86115,295766,303138,598904,CTCP May mặc Bình Dương,Protrade Garment Joint Stock Company,Số 7/128 KP.Bình Đức 1 - P. Bình Hòa - Tp. Thuận An - T. Bình Dương,(84.274) 375 5413,,http://www.protradegarment.com,,,,,
BDT,HASTC,26.0000,0,176630%,31.10,14.22,2.63,9.9,877%,1785%,1.24,38600000,38600000,0,0,1003600000,606348,0,568079,588420,1156499,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Dong Thap Building Materials & Contruction Joint Stock Company,Số 3 - Đường Tôn Đức Thắng - P. 1 - Tp. Cao Lãnh - T. Đồng Tháp,(84.277) 385 8959 - 366 1166,0277 3852 751,http://www.dongthapbmc.vn/,,,,,
BDW,HASTC,15.3000,0,107068%,19.50,8.00,2.01,7.6,641%,1407%,0.70,12410800,12410800,0,6075475,189885242,218086,0,177302,212153,389456,CTCP Cấp thoát nước Bình Định,Binh Dinh Water Supply and Sewerage Joint Stock Company,Số 146 Lý Thái Tổ - P. Quang Trung - TP. Quy Nhơn - T. Bình Định,(84.256) 374 7306,(84-56) 3847.843,http://binhdinhwaco.com.vn,,,,,
