MaCK,SanCK,GiaHienTai,GiaSoSach,PB,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,
APC,HOSE,20.6000,0,63718%,29.00,17.20,2.00,10.3,394%,618%,1.37,20106595,20113995,7400,5889996,414348305,140599,0,650027,368621,1018649,CTCP Chiếu xạ An Phú,An Phu Irradiation Joint Stock Company,119A/2 Tổ 4 Khu phố 1B - P.An Phú - TX.Thuận An - T.Bình Dương,(84.274) 371 2292,+84-(0)650-371.22.93,http://www.apic.com.vn,,,,
APG,HOSE,9.4800,0,79000%,11.20,7.02,2.90,3.3,924%,960%,1.48,34028900,34028900,0,6629161,322593956,52728,39208,408415,15900,424315,CTCP Chứng khoán APG,APG Securities Joint Stock Company,Tầng 5 Tòa nhà Grand Building - Số 30-32 Hòa Mã - Q. Hai Bà Trưng - Tp. Hà Nội,(84.24) 3941 0277,024 39.41.03.23,http://www.apsi.vn,,,,
APH,HOSE,45.4000,0,141609%,73.30,40.28,0.68,66.8,84%,211%,1.19,139362459,139362459,0,0,6327055851,9329270,94154,4468034,6720733,11188767,CTCP Tập đoàn An Phát Holdings,An Phat Holdings Joint Stock Company,Lô CN 11+CN12 - Cụm công nghiệp An Đồng - Thị trấn Nam Sách - H. Nam Sách - T. Hải Dương,(024) 3206 1199,,https://anphatholdings.com/,,,,
ASM,HOSE,13.4000,0,49392%,21.10,4.54,1.81,7.4,260%,666%,1.91,258867849,258867849,0,107770534,3468829078,12264333,467355,7022257,10938135,17960392,CTCP Tập đoàn Sao Mai,Sao Mai Group Corporation,326 Hùng Vương - P. Mỹ Long - Tp. Long Xuyên - T. An Giang,(84.296) 384 0138,0296 3840 139,http://saomainews.com/,,,,
ASP,HOSE,7.0900,0,51526%,8.19,4.35,1.33,5.3,265%,965%,1.23,37339929,37339929,0,18296565,264740102,2670929,44355,513849,1360361,1874210,CTCP Tập đoàn Dầu khí An Pha,An Pha Petrol Joint Stock Company,L8 - Tòa nhà Saigon Paragon - 03 - Nguyễn Lương Bằng - P.Tân Phú - Q.7 - Tp.HCM,(84.28) 5413 6338,028 54136-340,http://www.anphapetrol.com,,,,
AST,HOSE,48.5000,0,429204%,65.60,41.50,-2.07,-23.4,-1584%,-1831%,0.97,45000000,45000000,0,0,2182500000,221433,-93151,508625,79593,588218,CTCP Dịch vụ Hàng không Taseco,Taseco Air Services JSC,Tầng 1 - Tòa nhà N02-T1 - Khu Đoàn ngoại giao - Phố Đỗ Nhuận - P. Xuân Tào - Q. Bắc Từ Liêm - Hà Nội,(84.24) 3587 6683,024 3587 6678,http://tasecoairs.vn/,,,,
BCE,HOSE,10.6000,0,76149%,13.11,5.99,1420.00,0.0,4%,10%,1.27,30000000,30000000,0,14700000,318000011,444687,0,417748,547148,964896,CTCP Xây dựng và Giao thông Bình Dương,Binh Duong Construction & Civil Engineering JSC,Lô G - Đường Đồng Khởi - P.Hòa Phú -TP.Thủ Dầu Một - T.Bình Dương,(84.274) 222 0888,+84 (0650) 22 20 886,http://www.becamexbce.com.vn,,,,
BCG,HOSE,12.1000,0,27357%,14.98,4.79,3.16,3.8,113%,694%,1.63,108005760,108005760,0,51452822,1306869737,2151700,331487,4777428,24444070,29221497,CTCP Bamboo Capital,Bamboo Capital Joint Stock Company,Lầu 14 TN Vincom Center - Số 72 Lê Thánh Tôn - P.Bến Nghé - Q.1 - HCM,(84.28) 6268 0680 - (84) 902 581 095,028 62 991 188,www.bamboocap.com.vn,,,,
BCM,HOSE,41.6500,0,253038%,60.38,25.46,1970.00,0.0,5%,13%,0.98,1035000000,1035000000,0,0,43107751579,6835471,2038712,17032817,29332355,46365172,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Investment And Industrial Development Corporation,Số 8 đường Hùng Vương - P. Hòa Phú - Tp. Thủ Dầu Một - Tỉnh Bình Dương,(84.274) 382 2655,0274 3822 713,www.becamex.com.vn,,,,
BFC,HOSE,27.4000,0,104421%,28.70,10.41,3.82,7.2,589%,1457%,1.43,47639993,47639993,0,23343600,1305335790,6421920,182120,1250263,1842658,3092921,CTCP Phân bón Bình Điền,Binh Dien Fertilizer Joint Stock Company,C12/21 Quốc lộ 1A - X. Tân Kiên - H. Bình Chánh - Tp. HCM,(84.28) 3756 1191 - 3756 0110,028 37560799,http://www.binhdien.com,,,,
BHN,HOSE,51.9000,0,235054%,81.96,46.62,3.68,14.1,1302%,1668%,1.00,231800000,231800000,0,0,12030420354,8135631,853708,5118495,1439336,6557831,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Hanoi Beer Alcohol And Beverage Joint Stock Corporation,Số 183 - Phố Hoàng Hoa Thám - P. Ngọc Hà - Q. Ba Đình - Tp. Hà Nội,(84.24) 3845 3843 - 3992 2948,4.37223784,http://www.habeco.com.vn,,,,
BIC,HOSE,23.1000,0,108655%,25.00,15.66,2.56,9.0,504%,1204%,1.08,117276895,117276895,0,57465678,2709096319,2734237,302936,2493119,3457204,5950324,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,BIDV Insurance Corporation,Tầng 16 Tháp A Toà nhà VINCOM - 191 Bà Triệu - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 2220 0282,024 22 20 02 81,http://www.bic.vn,,,,
BID,HOSE,40.2000,0,203338%,49.00,34.96,2.03,19.8,54%,1028%,1.35,4160245514,4160245514,0,1025614600,167241872837,98446003,8662994,82263294,1476624113,1558887407,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,JSC Bank For Investment And Development Of Vietnam,Tháp BIDV - 35 Hàng Vôi - Q.Hoàn Kiếm - Tp.Hà Nội,(84.24) 2220 5544,024 22 20 03 99,http://bidv.com.vn,,,,
BKG,HOSE,10.2500,0,86864%,16.50,10.00,0.62,16.5,442%,527%,0.92,32000000,32000000,0,0,328000000,300808,26348,383402,66896,450298,Công ty Cổ phần Đầu tư BKG Việt Nam,Công ty Cổ phần Đầu tư BKG Việt Nam,,,,,,,,
BMC,HOSE,14.0000,0,85210%,20.70,9.00,1.09,12.8,496%,663%,1.47,12392630,12392630,0,6072388,173496820,205729,0,203567,68808,272375,CTCP Khoáng sản Bình Định,Binh Dinh Minerals Joint Stock Company,11 Hà Huy Tập - Tp.Quy Nhơn - T.Bình Định,(84.256) 382 2073,056-3822497,http://www.bimico.vn,,,,
BMI,HOSE,40.7500,0,157701%,40.95,18.84,2.38,17.1,325%,922%,1.37,91354037,91354037,0,40694445,3722677008,4535674,217728,2360777,4340622,6701399,Tổng Công ty cổ phần Bảo Minh,Bao Minh Insurance Corporation,26 Tôn Thất Đạm - Q.1 - Tp.Hồ Chí Minh,(84.28) 3829 4180,028 3829 4185,http://www.baominh.com.vn,,,,
BMP,HOSE,56.4000,0,191641%,63.56,42.29,6.18,9.1,1741%,2101%,0.91,81259014,81860938,0,22284455,4616957028,4835367,153141,2391761,494636,2886397,CTCP Nhựa Bình Minh,Binh Minh Plastics Joint Stock Company,240 Hậu Giang - P. 9 - Q. 6 - Tp. Hồ Chí Minh,(84.28) 3969 0973,8.9606814,http://www.binhminhplastic.com,,,,
BRC,HOSE,12.9500,0,75510%,14.39,9.00,1791.00,0.0,7%,10%,0.69,12374997,12374997,0,6063748,160256209,299007,0,212175,85089,297264,CTCP Cao su Bến Thành,Ben Thanh Rubber Joint Stock Company,Lô B3-1 - KCN Tây Bắc Củ Chi - H.Củ Chi - Tp.HCM,(84.28) 3790 8068,028 37.90.74.61,http://www.berubco.com.vn,,,,
BTP,HOSE,16.3000,0,76275%,18.00,13.29,1.58,10.3,495%,737%,0.60,58085600,59285600,1200000,29637944,966355235,559177,0,1241488,606458,1847946,CTCP Nhiệt điện Bà Rịa,BaRia Thermal Power Joint Stock Company,Kp. Hương Giang - P. Long Hương - Tp. Bà Rịa - T. Bà Rịa Vũng Tàu,(84.254) 221 2811,+84-(0)64-382.59.85,http://www.btp.com.vn,,,,
BTT,HOSE,53.0000,0,195500%,54.00,33.50,0.75,70.7,206%,276%,0.52,13500000,13500000,0,5194000,715500000,134927,10089,366031,124587,490618,CTCP Thương mại Dịch vụ Bến Thành,Ben Thanh Trading & Service Joint Stock Company,Số 2-4 đường Lưu Văn Lang - P. Bến Thành - Q. 1 - Tp. HCM,(84.28) 3822 3390,028 38.29.13.89,http://www.benthanhtsc.com.vn,,,,
BVH,HOSE,50.4000,0,175916%,70.40,39.52,2.55,19.8,129%,891%,1.43,742322764,742322764,0,333431002,37413068438,38791500,1954893,21267189,125336259,146603447,Tập đoàn Bảo Việt,Bao Viet Holdings,Số 72 - Phố Trần Hưng Đạo - P. Trần Hưng Đạo - Q. Hoàn Kiếm - Tp. Hà Nội,(84.24) 3928 9999 - 3928 9898,(84-4) 3928 9609,http://www.baoviet.com.vn,,,,
BWE,HOSE,37.9000,0,162941%,38.40,22.14,3.86,9.8,676%,1661%,1.05,150000000,150000000,0,0,5685000229,2967697,579591,3488397,5079275,8567672,CTCP Nước - Môi trường Bình Dương,Binh Duong Water Environment Joint Stock Company,Số 11 - Đường Ngô Văn Trị - P. Phú Lợi - Tp. Thủ Dầu Một - T. Bình Dương,(84.274) 383 8333 - 389 7766,0650 3827 738,www.biwase.com.vn,,,,
C32,HOSE,22.5500,0,60765%,28.27,18.29,4.55,5.0,738%,1225%,1.06,15030145,15030145,0,5488000,338929758,556663,68352,557797,368987,926784,CTCP CIC39,CIC39 Corporation,Số 45A - Đường Nguyễn Văn Tiết - P. Lái Thiêu - Tx. Thuận An - T. Bình Dương,(84.274) 375 9446,0650 3755605,https://www.cic39.vn/Home/,,,,
C47,HOSE,10.5000,0,63559%,14.05,7.96,1.36,7.7,170%,825%,1.34,18722143,18722143,0,5880000,196582502,1327159,25507,309333,1186882,1496215,CTCP Xây dựng 47,Construction Joint Stock Company 47,Số 8 - Đường Biên Cương - Tp.Quy Nhơn - T.Bình Định,(84.256) 352 2166 - 352 2931,0256 3522 316,http://www.xaydung47.vn,,,,
CCI,HOSE,19.0500,0,128716%,19.90,11.92,1.77,10.8,455%,1199%,1.32,17338345,17541105,202760,8694493,334158037,284822,0,256604,419517,676121,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Cu Chi Commercial & Industrial Developing Investment JSC,Ấp Bàu Tre 2 - X. Tân An Hội - H. Củ Chi - Tp. HCM,(84.28) 3892 0587,838921008,http://www.cidico.com.vn,,,,
CCL,HOSE,11.8500,0,95951%,15.80,5.98,1.53,7.7,600%,1236%,1.69,47499885,47499885,0,17394943,562873655,959935,72530,586680,622264,1208944,CTCP Đầu Tư và Phát triển Đô Thị Dầu khí Cửu Long,Cuu Long Petro Urban Development & Investment Corporation,Số 02 - Lô KTM-06 - Đường số 6 - Khu đô thị 5A - P.4 - Tp.Sóc Trăng - T.Sóc Trăng,(84.299) 362 7999,(079) 3627 888,http://pvcl.com.vn/,,,,
CDC,HOSE,13.7500,0,118534%,20.20,12.70,1.12,12.3,299%,968%,1.16,21988719,21988719,0,7696138,302344886,292425,0,255161,571516,826677,CTCP Chương Dương,Chuong Duong Joint Stock Company,Số 328 Võ Văn Kiệt - P. Cô Giang - Q. 1 - Tp. HCM,(84.28) 3836 7734 - 3836 8878,08-38368878,http://www.chuongduongcorp.vn,,,,
CEE,HOSE,12.1000,0,115568%,21.00,11.50,1.08,11.2,271%,1033%,1.24,41500000,41500000,0,0,502150016,880964,0,434697,1220990,1655687,CTCP Xây dựng Hạ tầng CII,CII Engineering and Construction JSC,Tầng 20 Toà nhà SunWah số 115 Nguyễn Huệ - P. Bến Nghé - Q. 1 - Tp. HCM,(84.28) 3512 2712,028 3512 0633,http://www.ciiec.com.vn/,,,,
CHP,HOSE,17.7000,0,142512%,18.39,15.62,1501.00,0.0,7%,12%,0.37,146912668,146912668,0,61739760,2600354336,767284,0,1824743,1519550,3344292,CTCP Thủy điện Miền Trung,Central Hydropower Joint Stock Company,KCN Đà Nẵng - P. An Hải Bắc - Q. Sơn Trà - Tp. Đà Nẵng,(84.236) 395 9110,236.393596,http://www.chp.vn,,,,
CIG,HOSE,6.6300,0,134483%,9.30,1.60,-5.21,-1.3,-2386%,-10576%,2.20,31539947,31539947,0,6585574,209109852,39741,-136780,155413,533454,688868,CTCP COMA 18,COMA 18 Joint Stock Company,Số 135 Trần Phú - P. Văn Quán - Q. Hà Đông - Tp. Hà Nội,(84.24) 3354 5608,024 33.54.46.67,http://www.coma18.vn/,,,,
CII,HOSE,16.2000,0,59167%,26.00,15.60,0.22,73.6,20%,79%,1.17,283168152,283168152,0,134175836,4587324278,6264088,61088,7753745,22201338,29955084,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Ho Chi Minh City Infrastructure Investment JSC,3A đường Nguyễn Văn Thủ - P. Đa Kao - Q. 1 - Tp. HCM,(84.28) 3914 1904,+84-(0)83914.19.10,http://www.cii.com.vn,,,,
CKG,HOSE,16.5500,0,146720%,17.39,7.33,1892.00,0.0,3%,15%,1.50,82499731,52499781,0,0,868871335,1331538,156062,930452,4143808,5074260,CTCP Tập đoàn Tư vấn Đầu tư và Xây dựng Kiên Giang,Kien Giang Construction & Investment Consultancy Corporation,34 đường Trần Phú - P.Vĩnh Thanh - Tp.Rạch Giá - T.Kiên Giang,(84.297) 3874660 - 3863472,,http://cicgroups.com/,,,,
CLC,HOSE,32.3000,0,112270%,43.75,22.20,4.84,6.7,1283%,1684%,0.93,26207583,26207583,0,6420876,846504911,1965516,0,753882,235356,989238,CTCP Cát Lợi,Cat Loi Joint Stock Company,934 D2 - Đường D - KCN Cát Lái - P.Thạnh Mỹ Lợi - Q.2 - Tp.HCM,(84.28) 3742 1118,7420923,http://www.catloi.com.vn,,,,
CLL,HOSE,30.9000,0,161780%,33.50,25.60,2.47,12.5,1187%,1294%,0.78,34000000,34000000,0,16660000,1050599987,393063,83997,649284,39098,707936,CTCP Cảng Cát Lái,Cat Lai Port Joint Stock Company,Đường Nguyễn Thị Định - P. Cát Lái - Q. 2 - Tp. HCM,(84.28) 3742 3499 - 3742 3501 - 37423502,837423500,http://catlaiport.com.vn,,,,
CLW,HOSE,30.0000,0,167879%,32.22,20.14,2.02,14.9,586%,1131%,0.69,13000000,13000000,0,6370000,390000000,1172919,0,232247,215859,448105,CTCP Cấp nước Chợ Lớn,Cholon Water Supply Joint Stock Company,97 Phạm Hữu Chí - P.12 - Q.5 - Tp.HCM,(84.24) 3855 2354 - 3955 6370,028 39.55.04.24,http://www.capnuoccholon.com.vn,,,,
CMG,HOSE,35.9000,0,149896%,39.40,26.50,1.84,19.5,366%,768%,1.13,100158086,100078976,-79110,32997556,3592835391,5288735,184254,2398910,2629969,5028879,CTCP Tập đoàn Công nghệ CMC,CMC Corporation,CMC Tower - Số 11 Phố Duy Tân - P. Dịch Vọng Hậu - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 3795 8668,024 37.95.89.89,http://www.cmc.com.vn,,,,
CMV,HOSE,13.9000,0,67937%,18.00,9.00,2.09,6.7,408%,1023%,1.29,12103912,12103912,0,5930916,168244372,4056107,25342,247695,373690,621386,CTCP Thương nghiệp Cà Mau,Ca Mau Trading Joint Stock Company,70 - 72 Đề Thám - P.2 - Tp.Cà Mau - T.Cà Mau,(84.290) 383 9220,290.3834358,http://www.tncm.com.vn,,,,
CMX,HOSE,13.3000,0,71123%,19.25,12.12,1.76,7.6,331%,943%,1.51,30408751,30408751,0,6478404,404436394,1357386,35745,568534,1049474,1618009,CTCP Camimex Group,Camimex Group JSC,Số 333 - Đường Cao Thắng - P. 8 - Tp. Cà Mau - T. Cà Mau,(84.290) 383 1608,7803832297,http://www.camimex.com.vn,,,,
CNG,HOSE,24.2500,0,125388%,26.55,17.70,1.89,12.8,529%,976%,0.90,27000000,27000000,0,13230000,654750000,2443730,0,522268,440935,963203,CTCP CNG Việt Nam,CNG Viet Nam Joint Stock Company,Số 61B Đường 30/4 P. Thống nhất - Tp. Vũng Tàu - T. Bà Rịa - Vũng Tàu,(84.254) 357 4635,0254 3574619,www.cng-vietnam.com,,,,
COM,HOSE,42.7500,0,125588%,53.00,40.00,3.29,13.0,820%,965%,1.05,13384108,13752368,368260,6919107,587913732,2834516,0,455588,80367,535955,CTCP Vật tư Xăng Dầu,Materials - Petroleum Joint Stock Company,Tầng 7,8,9 Tòa nhà Comeco - Số 549 Điện Biên Phủ - P.3 - Q.3 - Tp.HCM,(84.28) 3832 1111,(84-8)-38.325.555,http://www.comeco.vn,,
CRC,HOSE,9.1500,0,74939%,19.20,8.24,0.45,20.3,118%,365%,1.46,15000000,15000000,0,0,137249994,655233,5467,183118,382262,565380,CTCP Create Capital Việt Nam,Create Capital Viet Nam Joint Stock Company,104/140 Khuất Duy Tiến - P. Nhân Chính - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3555 8658,(84-24) 6292 5566,http://createcapital.vn/,,,,
CRE,HOSE,47.9000,0,211947%,47.80,14.56,3.91,12.3,751%,1729%,1.08,95999908,95999908,0,0,4598395740,3878544,375079,2169557,2824427,4993984,CTCP Bất động sản Thế Kỷ,Century Land JSC,Tầng 1 Tòa B Sky City Số 88 Nguyễn Chí Thanh - P. Láng Hạ - Q. Đống Đa - Tp. Hà Nội,(04) 3 7752 877,(84 24) 37754599,https://www.cenland.vn/,,,,
CSM,HOSE,16.1000,0,129421%,20.37,13.24,0.84,19.2,205%,675%,1.02,103625383,103625925,542,50776968,1668377432,4926551,0,1288793,2958738,4247531,CTCP Công nghiệp Cao su Miền Nam,The Southern Rubber Industry JSC,180 Nguyễn Thị Minh Khai - P.6 - Q.3 - Tp.HCM,(84.28) 3836 2373,028 3836 2633,http://www.casumina.com/,,,,
CSV,HOSE,28.4000,0,120543%,33.10,18.63,3859.00,0.0,14%,16%,1.13,44200000,44200000,0,21658000,1255279983,1305922,170555,1041280,205931,1247212,CTCP Hóa chất Cơ bản Miền Nam,South Basic Chemicals JSC,22 Lý Tự Trọng - P.Bến Nghé - Q.1 - TP.HCM,(84.28) 3829 6620 - 3822 5373,028 3824 3166 – 028 38239109,http://www.sochemvn.com,,,,
CTD,HOSE,60.0000,0.1,56684%,84.20,52.80,5.00,12.0,302%,472%,1.32,79121688,79188344,66656,22960189,4751300640,13642838,395492,8375067,4706705,13081772,CTCP Xây dựng Coteccons,Coteccons Construction Joint Stock Company,236/6 Điện Biên Phủ - P. 17 - Q. Bình Thạnh - Tp. HCM,(84.28) 3514 2255,08 3514 2277,http://www.coteccons.vn,,,,
CTF,HOSE,20.3000,0,178697%,21.20,16.33,0.26,78.1,103%,230%,0.36,68300000,68300000,0,0,1386489948,5783099,761,775921,952818,1728738,CTCP City Auto,City Auto Corporation,Số 218 Quốc lộ 13 - P. Hiệp Bình Chánh - Q. Thủ Đức - TP. HCM,(84.28) 3726 2626,028 3726 3626,www.cityford.com.vn,,,,
CTG,HOSE,32.5000,0,131792%,42.15,15.81,5.43,6.0,132%,1930%,1.56,3723404556,3723404556,0,1117021366,121010648070,83265757,17768840,91837105,1252147404,1343984509,Ngân hàng TMCP Công Thương Việt Nam,Vietnam Joint Stock Commercial Bank for Industry and Trade,108 Trần Hưng Đạo - P.Cửa Nam - Q.Hoàn Kiếm - Tp.Hà Nội,(84.24) 3942 1030,024 39421032,http://www.vietinbank.vn,,,,
CTI,HOSE,14.1000,0,65734%,19.50,10.24,1.60,8.8,225%,747%,1.11,62999997,62999997,0,16169998,888299982,960208,100898,1351536,3137952,4489488,CTCP Đầu tư Phát triển Cường Thuận IDICO,Cuong Thuan IDICO Development Investment Coporation,Số 168 - KP. 11 - P. An Bình - Tp. Biên Hòa - T. Đồng Nai,(84.251) 629 1081,+84-(0)61-629.10.82,http://www.cuongthuan.vn,,,,
CTS,HOSE,20.2000,0,145533%,25.90,6.23,2.44,8.3,526%,1760%,1.85,106436576,106436576,0,41027865,2150018916,715829,260055,1477337,3464405,4941742,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,Viet Nam Bank For Industry & Trade Securities JSC,Số 306 Bà Triệu - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 6278 0012,2439741760,https://www.cts.vn,,,,
CVT,HOSE,40.0000,0,192215%,52.59,15.11,3.20,12.5,841%,1536%,1.13,36690887,36690887,0,19199968,1467635480,1448671,0,763618,630298,1393916,CTCP CMC,CMC Joint Stock Company,Lô B10-B11 KCN Thụy Vân - X. Thụy Vân - Tp. Việt Trì - T. Phú Thọ,(84.210) 399 1706,2103991800,http://www.cmctile.com.vn,,,,
D2D,HOSE,50.3000,0,149524%,63.89,34.81,8.82,5.7,1348%,2622%,1.25,30214726,30259742,45016,5243000,1522065000,364253,0,1016503,960436,1976938,CTCP Phát triển Đô thị Công nghiệp số 2,Industrial Urban Development JSC No. 2,H22 - Đường Võ Thị Sáu - P. Thống Nhất - Tp. Biên Hòa - T. Đồng Nai,(84.251) 381 7742 - 381 7768,+84-(0)61-381.77.68,http://www.d2d.com.vn,,,,
